Timestamp,Channel,Sequence,Wavelength(nm),PhysicalValue,HasPhysicalValue,Status
2025-11-01 17:30:07,1,1,1540.061,-3.3085,true,正常
2025-11-01 17:30:07,1,2,1544.891,-1.0730,true,正常
2025-11-01 17:30:07,1,3,1549.867,-0.6233,true,正常
2025-11-01 17:30:07,1,1,1540.061,-3.3085,true,正常
2025-11-01 17:30:07,1,2,1544.891,-1.0730,true,正常
2025-11-01 17:30:07,1,3,1549.868,-0.5431,true,正常
2025-11-01 17:30:07,1,1,1540.061,-3.3085,true,正常
2025-11-01 17:30:07,1,2,1544.891,-1.0730,true,正常
2025-11-01 17:30:07,1,3,1549.868,-0.5431,true,正常
2025-11-01 17:30:07,1,1,1540.061,-3.3085,true,正常
2025-11-01 17:30:07,1,2,1544.891,-1.0730,true,正常
2025-11-01 17:30:07,1,3,1549.867,-0.6233,true,正常
2025-11-01 17:30:07,1,1,1540.061,-3.3085,true,正常
2025-11-01 17:30:07,1,2,1544.891,-1.0730,true,正常
2025-11-01 17:30:07,1,3,1549.867,-0.6233,true,正常
2025-11-01 17:30:07,1,1,1540.061,-3.3748,true,正常
2025-11-01 17:30:07,1,2,1544.892,-0.2769,true,正常
2025-11-01 17:30:07,1,3,1549.867,-0.7029,true,正常
2025-11-01 17:30:07,1,1,1540.061,-3.3748,true,正常
2025-11-01 17:30:07,1,2,1544.892,-0.2769,true,正常
2025-11-01 17:30:07,1,3,1549.868,-0.6227,true,正常
2025-11-01 17:30:08,1,1,1540.061,-3.3085,true,正常
2025-11-01 17:30:08,1,2,1544.891,-1.0730,true,正常
2025-11-01 17:30:08,1,3,1549.868,-0.5431,true,正常
2025-11-01 17:30:08,1,1,1540.061,-3.3748,true,正常
2025-11-01 17:30:08,1,2,1544.892,-0.2769,true,正常
2025-11-01 17:30:08,1,3,1549.868,-0.6227,true,正常
2025-11-01 17:30:08,1,1,1540.061,-3.3085,true,正常
2025-11-01 17:30:08,1,2,1544.891,-1.0730,true,正常
2025-11-01 17:30:08,1,3,1549.867,-0.6233,true,正常
2025-11-01 17:30:08,1,1,1540.061,-3.3085,true,正常
2025-11-01 17:30:08,1,2,1544.891,-1.0730,true,正常
2025-11-01 17:30:08,1,3,1549.868,-0.5431,true,正常
2025-11-01 17:30:08,1,1,1540.061,-3.3085,true,正常
2025-11-01 17:30:08,1,2,1544.891,-1.0730,true,正常
2025-11-01 17:30:08,1,3,1549.867,-0.6233,true,正常
2025-11-01 17:30:08,1,1,1540.061,-3.3085,true,正常
2025-11-01 17:30:08,1,2,1544.891,-1.0730,true,正常
2025-11-01 17:30:08,1,3,1549.868,-0.5431,true,正常
2025-11-01 17:30:08,1,1,1540.061,-3.3085,true,正常
2025-11-01 17:30:08,1,2,1544.891,-1.0730,true,正常
2025-11-01 17:30:08,1,3,1549.866,-0.7034,true,正常
2025-11-01 17:30:08,1,1,1540.062,-2.6492,true,正常
2025-11-01 17:30:08,1,2,1544.891,-1.0730,true,正常
2025-11-01 17:30:08,1,3,1549.868,-0.5431,true,正常
2025-11-01 17:30:08,1,1,1540.061,-3.3085,true,正常
2025-11-01 17:30:08,1,2,1544.891,-1.0730,true,正常
2025-11-01 17:30:08,1,3,1549.868,-0.5431,true,正常
2025-11-01 17:30:08,1,1,1540.061,-3.3085,true,正常
2025-11-01 17:30:08,1,2,1544.891,-1.0730,true,正常
2025-11-01 17:30:08,1,3,1549.866,-0.7034,true,正常
2025-11-01 17:30:08,1,1,1540.062,-2.6492,true,正常
2025-11-01 17:30:08,1,2,1544.891,-1.0730,true,正常
2025-11-01 17:30:08,1,3,1549.867,-0.6233,true,正常
2025-11-01 17:30:08,1,1,1540.061,-3.3085,true,正常
2025-11-01 17:30:08,1,2,1544.891,-1.0730,true,正常
2025-11-01 17:30:08,1,3,1549.867,-0.6233,true,正常
